,Number of YouTubers,Number of Videos,,,,Number of Videos,Number of YouTubers
0,0,0,,,,0,0
1,100,8,,,,0,1400
2,200,15,,,,0,1500
3,300,15,,,,0,1600
4,400,17,,,,0,1700
5,500,7,,,,0,1800
6,600,7,,,,0,1900
7,700,2,,,,0,2000
8,800,2,,,,0,2100
9,900,4,,,,0,2200
10,1000,3,,,,0,2300
11,1100,1,,,,0,2400
12,1200,3,,,,0,2600
13,1300,1,,,,0,2700
14,1400,0,,,,0,2800
15,1500,0,,,,0,2900
16,1600,0,,,,0,3000
17,1700,0,,,,0,3100
18,1800,0,,,,0,3200
19,1900,0,,,,0,3300
20,2000,0,,,,0,3400
21,2100,0,,,,0,3500
22,2200,0,,,,0,3600
23,2300,0,,,,0,3700
24,2400,0,,,,0,3800
25,2500,1,,,,0,3900
26,2600,0,,,,0,4000
27,2700,0,,,,0,4100
28,2800,0,,,,0,4200
29,2900,0,,,,0,4300
30,3000,0,,,,0,4400
31,3100,0,,,,0,4500
32,3200,0,,,,0,4600
33,3300,0,,,,0,4700
34,3400,0,,,,0,4800
35,3500,0,,,,0,4900
36,3600,0,,,,0,5000
37,3700,0,,,,0,5300
38,3800,0,,,,0,5400
39,3900,0,,,,0,5500
40,4000,0,,,,0,5600
41,4100,0,,,,0,5700
42,4200,0,,,,0,5800
43,4300,0,,,,0,5900
44,4400,0,,,,1,1100
45,4500,0,,,,1,1300
46,4600,0,,,,1,2500
47,4700,0,,,,1,5100
48,4800,0,,,,1,5200
49,4900,0,,,,2,700
50,5000,0,,,,2,800
51,5100,1,,,,3,1000
52,5200,1,,,,3,1200
53,5300,0,,,,4,900
54,5400,0,,,,7,500
55,5500,0,,,,7,600
56,5600,0,,,,8,100
57,5700,0,,,,15,200
58,5800,0,,,,15,300
59,5900,0,,,,17,400
